,microbe_0,microbe_1,microbe_2,microbe_3,microbe_4,microbe_5,microbe_6,microbe_7,microbe_8,microbe_9,microbe_10,microbe_11,microbe_12,microbe_13,microbe_14,microbe_15,microbe_16,microbe_17,microbe_18,microbe_19,microbe_20,microbe_21,microbe_22,microbe_23,microbe_24,microbe_25,microbe_26,microbe_27,microbe_28,microbe_29,microbe_30,microbe_31,microbe_32,microbe_33,microbe_34,microbe_35,microbe_36,microbe_37,microbe_38,microbe_39,microbe_40,microbe_41,microbe_42,microbe_43,microbe_44,microbe_45,microbe_46,microbe_47,microbe_48,microbe_49
microbe_0,-0.97460765,-0.008056989,-0.0378594,0.14517216,0.022871507,-0.016810179,0.0014013809,-0.01798121,-0.015172181,-0.020719307,0.0011246958,-0.027264701,-0.05543181,0.04794891,-0.010470453,0.1277377,-0.0050850813,0.0038169373,-0.010456711,-0.01497271,-0.030829258,-0.005954677,-0.0051059294,-0.06425166,0.0042773224,-0.028047897,0.039457504,-0.0004967634,0.0564859,-0.0063514085,-0.016406931,-0.0017321815,-0.023698222,0.011288055,-0.2098411,-0.019180454,-0.021859596,-0.045040585,-0.048196893,-0.008791855,-0.015646834,-0.005344592,0.0013803458,-0.027281422,0.052812368,-0.014107901,-0.024092676,-0.011428962,-0.040262125,-0.06416305
microbe_1,-0.0084736645,-0.97318083,-0.04048535,-0.022588886,0.09695337,-0.021917215,-0.0066708294,-0.020740857,-0.020165788,-0.026676044,0.12837899,-0.016008804,-0.010166284,0.028919319,0.118788585,-0.015844133,-0.13938937,0.001485699,-0.019238262,-0.022036305,0.03589807,-0.0011683144,-0.0010460274,-0.019237496,0.010904431,-0.020864038,0.043289956,-0.0026153682,0.11861429,-0.015906995,-0.01646022,-0.006018781,-0.024879305,-0.022185437,-0.024729392,-0.030309102,-0.0040108226,-0.010561586,0.023570936,-0.012732668,-0.022080608,-0.020213665,0.0003333366,-0.0187752,0.027128773,0.013682572,0.14494964,0.22153038,0.0416171,-0.023887618
microbe_2,0.026225697,0.001539483,-0.9996596,-0.0016939802,0.25005138,-0.06343135,0.03957722,0.17780235,-0.020761523,-0.0064680544,0.034551036,0.0066709067,0.00036447437,0.117237225,-0.010204206,0.008595008,0.011400101,0.042927396,0.0036722708,-0.021505294,0.088285096,0.0028324898,0.019975912,0.008281728,0.021831872,-0.003013298,0.104356505,0.037071966,0.13867751,-0.0016680912,-0.03882662,0.022216847,-0.009033129,0.061101172,0.011145511,-0.057760213,0.02879779,0.025019776,0.0877104,0.007937999,-0.013443514,0.033556793,0.0584384,-0.0008714979,0.17562617,0.075017616,0.24667302,0.0010177114,0.05050458,-0.0071090935
microbe_3,-0.04637694,-0.009090426,-0.044620976,-0.99236584,0.25438634,-0.017523179,0.030853247,-0.032798,-0.016729256,-0.025491336,-0.005262465,-0.008112583,-0.0073850374,0.060076267,-0.02295521,-0.08116085,-0.00039272918,0.042130087,-0.00983922,-0.026260637,0.04838065,-0.0045880233,-0.00750183,-0.03738154,0.02155984,-0.012218789,0.09749101,0.005859588,0.16350982,-0.0024236122,-0.0058589964,0.009448545,-0.01877566,0.044768993,0.045932196,-0.014190415,0.02336543,0.0021090144,0.059602443,0.0016633909,-0.01438719,0.007371101,0.026134834,-0.0048147766,0.17253141,0.054638904,0.2786383,-0.011665478,0.103931956,-0.019661272
microbe_4,-0.038353864,0.012365875,-0.06355118,-0.04567716,-1.021432,-0.03821655,-0.098393664,0.015743967,-0.042057216,-0.055798974,0.021239918,-0.04537615,-0.045254022,0.04669327,0.013411622,-0.044256464,-0.04048776,0.07108679,-0.06677607,0.03172147,0.13201407,0.048841253,-0.026127791,-0.009706041,0.039110996,-0.053845704,0.10104401,0.25688702,0.09773054,-0.03236781,-0.042281494,-0.031812094,-0.053530283,-0.17837884,0.025596213,-0.05138162,0.0971307,-0.033690806,0.072876014,0.018037926,-0.027468964,-0.032801736,0.28723556,-0.04666684,0.17100894,0.006372755,0.050461758,0.026450349,-0.21516968,-0.058916237
microbe_5,-0.009893942,-0.017505644,-0.028813707,-0.025069084,0.10671201,-0.99164957,-0.0004093752,-0.030776873,-0.024252048,-0.022908203,-0.0018522248,-0.016809927,-0.017345266,0.04166351,-0.02753197,-0.011176953,-0.014502496,-0.0010033303,-0.025796918,-0.02492775,0.03822178,-0.016063066,-0.013060124,-0.015728697,0.05087718,-0.018957576,0.02514679,-0.0059560947,0.08601575,-0.0067045866,0.30149516,-0.009721541,-0.024577526,0.00056705653,-0.015019107,0.1819823,-0.000571277,-0.0078175515,0.023941219,-0.016400836,-0.02301176,-0.009901058,-0.0019926692,-0.018691536,0.07376808,0.013066151,0.10518336,-0.017849043,0.00092211226,-0.022858625
microbe_6,0.0007142998,0.0015173266,-0.03663922,-0.012723772,0.18929803,-0.020020815,-1.0008881,0.082082264,0.18906102,-0.016991751,0.028610894,-0.008600183,-0.0009770377,0.06832643,-0.020415295,0.0023932892,0.0013946217,0.037523516,-0.021085339,-0.025562465,0.08970418,-0.0450496,0.0038745073,-0.00043043724,0.013673666,-0.0152452225,0.08118091,-0.036385812,0.1988718,-0.13699538,-0.010647314,0.012258498,-0.023190463,0.05858981,-0.021596054,-0.014031768,-0.033254795,0.013105092,0.0912628,0.0059783007,-0.009655888,0.016364254,0.037747443,-0.0130456,0.16957454,0.030397383,0.20865573,-0.012472555,0.21012743,-0.03286045
microbe_7,-0.010763766,-0.014637477,-0.023327937,-0.015520688,0.041638,-0.021254182,-0.06417359,-0.95208216,-0.010903776,-0.016163971,-0.01286753,-0.012919673,-0.014454722,-0.061086774,-0.018647527,-0.014911427,-0.010328222,-0.0062361504,-0.010468809,-0.019223958,-0.0076069743,-0.0048778593,-0.012892818,-0.017529674,-0.15324737,-0.014144549,0.01449653,-0.0079742465,-0.023622222,-0.07575398,0.25087324,-0.00885561,-0.016728163,-0.06284836,-0.0153668355,-0.026404992,-0.0056423806,-0.014172363,-0.044859674,-0.016499177,-0.019530015,-0.007599395,-0.0076844674,-0.014889265,0.0434292,0.004623181,-0.0056682015,-0.016450075,-0.04559008,-0.015112046
microbe_8,0.011590698,-0.008674577,-0.032508068,-0.017535318,0.24511008,-0.018339058,-0.015272413,-0.12454358,-1.0011152,-0.020370357,0.017652817,-0.007093477,-0.007385508,0.11519195,-0.022025941,-0.0015069348,-0.0022817152,0.03881816,-0.012557872,-0.015996456,0.061837733,-0.0060737133,0.0041890927,-0.006608486,0.10155581,-0.011776618,0.09290553,0.01752646,0.21754476,-0.013875166,-0.011812505,0.009561666,-0.019957405,0.0707681,-0.0004683591,-0.015711615,-0.0011453606,0.022484314,0.10361062,-0.001695293,-0.00819877,0.0047605266,0.03338164,-0.010225512,0.15642835,0.049226113,0.21057129,-0.013791598,0.34551388,-0.019162891
microbe_9,0.006923869,0.013156734,-0.053023737,-0.015669184,0.36287168,-0.016470857,0.06771442,-0.030705111,-0.012362703,-0.98103386,0.019222774,0.002727573,0.24959804,0.14444888,-0.015389235,0.01840484,-0.0390869,0.10463956,-0.01150313,-0.07110509,0.12879637,0.034670096,-0.050529465,0.008578019,0.04758654,-0.011624548,0.17329118,0.024156468,0.24212122,0.013521562,0.0023448889,0.027643537,-0.009709126,0.09420328,0.007461133,-0.0045292494,0.033700656,0.015046702,0.1044151,0.026975358,-0.0071189418,-0.032019455,-0.0389559,0.097584866,0.22055995,0.26923954,0.3443468,0.005534875,0.17081976,-0.018068794
