,0
microbe_0,1.0
microbe_1,1.0
microbe_2,1.0
microbe_3,1.0
microbe_4,1.0
microbe_5,1.0
microbe_6,1.0
microbe_7,1.0
microbe_8,1.0
microbe_9,1.0
microbe_10,1.0
microbe_11,1.0
microbe_12,1.0
microbe_13,1.0
microbe_14,1.0
microbe_15,1.0
microbe_16,1.0
microbe_17,1.0
microbe_18,1.0
microbe_19,1.0
microbe_20,1.0
microbe_21,1.0
microbe_22,1.0
microbe_23,1.0
microbe_24,1.0
microbe_25,1.0
microbe_26,1.0
microbe_27,1.0
microbe_28,1.0
microbe_29,1.0
microbe_30,1.0
microbe_31,1.0
microbe_32,1.0
microbe_33,1.0
microbe_34,1.0
microbe_35,1.0
microbe_36,1.0
microbe_37,1.0
microbe_38,1.0
microbe_39,1.0
microbe_40,1.0
microbe_41,1.0
microbe_42,1.0
microbe_43,1.0
microbe_44,1.0
microbe_45,1.0
microbe_46,1.0
microbe_47,1.0
microbe_48,1.0
microbe_49,1.0
